0;inimigo vazio teste;0.0;0.0;0.0;0;0;0,0
1;Goblin;12.0;15.0;3.0;1;5;1,2
2;Lobo Selvagem;14.0;18.0;4.0;1;3;3
3;Bandido;16.0;20.0;5.0;2;4;4,5
4;Orc;18.0;25.0;6.0;2;6;6,7
5;Troll;20.0;30.0;5.0;3;7;8,9
6;Esqueleto Guerreiro;22.0;22.0;4.0;3;5;10,11
7;Mago das Sombras;25.0;18.0;8.0;4;3;12,13
8;Cavaleiro Negro;28.0;35.0;6.0;4;6;14,15
9;Aranha Gigante;24.0;20.0;7.0;3;4;16
10;Harpia;26.0;25.0;8.0;4;5;17,18
11;Dragão Jovem;30.0;40.0;10.0;5;10;19,20
12;Lobo Alfa;27.0;28.0;9.0;4;6;21,22
13;Golem de Pedra;32.0;45.0;5.0;5;8;23,24
14;Serpente Gigante;29.0;35.0;7.0;5;6;25
15;Feiticeiro Sombrio;33.0;30.0;12.0;6;5;26,27
16;Vampiro;35.0;40.0;10.0;6;7;28,29
17;Lorde Orc;38.0;45.0;9.0;7;8;30
18;Dragão Adulto;40.0;50.0;12.0;7;10;29,30
19;Demônio Menor;42.0;55.0;15.0;8;12;27,28
20;Rei Esqueleto;45.0;60.0;14.0;8;15;25,26
